regime,nest_mu,method,toll,n_seeds,mean_n,W_exp,W_exp_lo,W_exp_hi,W_perc,W_perc_lo,W_perc_hi,TCS_exp,TCS_perc,R,suppression_rate,suppression_lo,suppression_hi,mean_vot_suppressed,mean_vot_travelled,spo_sec
elastic,0.5,davis_threshold,0.0,38,2992.157894736842,-1.7475467766827766,-1.757925544421033,-1.7376790345720399,-1.6337393280689223,-1.6476478051230434,-1.621482335106346,-1.7475467766827766,-1.6337393280689223,0.0,0.024413624797677523,0.022416970597840005,0.026644052085529512,18.974333194267157,19.085200631804515,24.164258704174006
elastic,0.5,davis_threshold,0.17,38,2990.4210526315787,-1.7072132245587621,-1.716309240773293,-1.6975320479269302,-1.521641769046525,-1.5318450499268164,-1.512803764378567,-1.7876827432854172,-1.6021112877731798,0.06705793227221236,0.05291470059775962,0.04978423104451774,0.05639875319940386,12.194581201208452,19.403480678909137,19.99172569057788
elastic,0.5,davis_threshold,0.28,37,2990.4324324324325,-1.7254765709099487,-1.7345140328656226,-1.716195652473517,-1.524128185445025,-1.5356598062822926,-1.5134029474882176,-1.8364223203216028,-1.6350739348566794,0.09245479117637863,0.09433717356466756,0.09031268130567457,0.09821840211132675,11.949204565952863,19.742290037522285,16.992560663130586
elastic,0.5,davis_threshold,0.5,37,2991.7837837837837,-1.7738006489920162,-1.786625599671523,-1.761507763736874,-1.5307194210200847,-1.5477758637745622,-1.5128033426221197,-1.9230043233292151,-1.6799230953572837,0.12433639528099887,0.1671296346583793,0.1607981836719188,0.17386073623298529,12.129443147905734,20.38779779444378,13.648300185392948
elastic,0.5,ema,0.0,39,2975.8205128205127,-1.8658099742268008,-1.8783274612747138,-1.85313374395836,-1.294506611076117,-1.3088158123617868,-1.2819036673808313,-1.8658099742268008,-1.294506611076117,0.0,0.04733744101192127,0.042499398521483184,0.05204486614076542,19.234025121956577,19.064255309650868,37.257285737469935
elastic,0.5,ema,0.17,36,2986.472222222222,-1.857160496764188,-1.8716360486869013,-1.8412648806427934,-1.2852514579031937,-1.2984481184595098,-1.272956668497312,-1.9463953089972235,-1.374486270136229,0.07436234352752943,0.07707573066246629,0.07239859604057212,0.08201393862599557,13.704610220408656,19.51882012930548,34.69726689703109
elastic,0.5,ema,0.28,35,2989.0285714285715,-1.8413908821202938,-1.8572546420950633,-1.8255312007006128,-1.3300613221431168,-1.3446550632242955,-1.3154609615957422,-1.9756919756584264,-1.4643624156812496,0.11191757794844398,0.09784476876636292,0.09238569677661418,0.1035438752296279,11.443912328232862,19.95018526144109,35.792002205704144
elastic,0.5,ema,0.5,40,3009.025,-1.7757622873856156,-1.7892263700148734,-1.7617642927086836,-1.4414511450376792,-1.4585130863754303,-1.424370297309675,-1.9639821247297617,-1.6296709823818252,0.1568498644534549,0.16440166494445568,0.15990204420569032,0.16910184348280236,9.574561862083282,20.947730902076223,25.335817694320326
elastic,0.5,habit,0.0,35,2991.4857142857145,-1.723333013491222,-1.7347156476353345,-1.7123815016942712,-1.7233330134912217,-1.7343559526942138,-1.7121135012503532,-1.723333013491222,-1.7233330134912217,0.0,0.047593336464815415,0.04388628067858722,0.051443553686903024,18.911499362314284,19.07786848193048,0.0
elastic,0.5,habit,0.17,40,2991.05,-1.688142737685365,-1.6971694296308293,-1.6793656207040983,-1.6881427376853655,-1.6974496612298389,-1.6789444938904023,-1.7826404093315353,-1.782640409331536,0.07874805970514202,0.092751724040144,0.08954337988109497,0.09564285698278632,12.65775635605931,19.71373935142817,0.0
elastic,0.5,habit,0.28,36,2991.0,-1.688651162853298,-1.6969059069191197,-1.6803011443969755,-1.6886511628532985,-1.696960913411997,-1.6802632407854194,-1.8205597775863862,-1.8205597775863869,0.10992384561090679,0.16874698168579813,0.16336973884616818,0.17402253055462683,10.395130692548028,20.84623185680546,0.0
elastic,0.5,habit,0.5,38,2991.0,-1.7368289887554134,-1.7444911867367714,-1.729453271267303,-1.7368289887554142,-1.7438679630925593,-1.7299340734355353,-1.888452279680821,-1.8884522796808216,0.12635274243783984,0.32508050467191046,0.3206094159671999,0.3292955621249714,10.642468873109951,23.095513016828182,0.0
elastic,0.5,mixed|d0200e0600h0200,0.0,29,2991.206896551724,-1.7745336259627063,-1.7874859976383943,-1.7619689209286542,-1.6537781608003406,-1.6712819407167006,-1.6356767430769021,-1.7745336259627063,-1.6537781608003406,0.0,0.027455528248022443,0.025855024353613677,0.029110917585464097,19.36618527144752,19.041103983159886,17.873756542919477
elastic,0.5,mixed|d0200e0600h0200,0.17,29,2991.344827586207,-1.7034943575812689,-1.719728332972455,-1.6892655048879572,-1.5358139287371992,-1.5501136353403488,-1.5225634570946414,-1.8006588249205366,-1.6329783960764674,0.08097038944938972,0.04710062035723766,0.04483401427942051,0.04939564385581391,11.970960199939276,19.367081942490927,14.846989987204138
elastic,0.5,mixed|d0200e0600h0200,0.28,29,2991.206896551724,-1.6826927336744641,-1.6922126104758881,-1.67281611512466,-1.5246699278125304,-1.5318184977540983,-1.518000048611217,-1.8159468082354822,-1.6579240023735493,0.11104506213418193,0.07829831308215696,0.0749849484188289,0.08179841826156067,10.332968863497848,19.7568550076516,13.321572675907856
elastic,0.5,mixed|d0200e0600h0200,0.5,28,2991.535714285714,-1.728077352092996,-1.738446780032748,-1.718007611977825,-1.578689761139269,-1.5878535513912408,-1.5683543069256798,-1.8881788898945253,-1.7387912989407985,0.13341794816794145,0.17653301934118643,0.17229737132832462,0.1806742614363575,11.12686238964179,20.662355568575606,10.426283899935822
elastic,0.5,mixed|d0340e0330h0330,0.0,28,2992.3928571428573,-1.7770426633170415,-1.7891646635315657,-1.7644362550206392,-1.707705946508707,-1.7197614462968474,-1.6949780248334223,-1.7770426633170415,-1.707705946508707,0.0,0.03584723408101947,0.03339441919072549,0.03806050487113301,18.520506886129347,18.988460558030575,12.804098899592972
elastic,0.5,mixed|d0340e0330h0330,0.17,30,2991.0,-1.6799042349870037,-1.689464483818965,-1.6691676362277446,-1.5601784350566044,-1.5699572787298899,-1.5509402226528866,-1.7740811700268202,-1.6543553700964204,0.07848077919984695,0.05222277343832794,0.04969880054430749,0.05499904443825538,12.436976559216719,19.379595035457992,11.258494812505093
elastic,0.5,mixed|d0340e0330h0330,0.28,29,2990.655172413793,-1.7063257068632374,-1.7190285217782075,-1.6939442814135048,-1.574285912190528,-1.5869393341257167,-1.5631315106323986,-1.8290622104526562,-1.6970224157799472,0.1022804196578492,0.09571106046978678,0.09259161955013533,0.09909478373404082,10.905401450239921,20.03818927913838,10.738783271051258
elastic,0.5,mixed|d0340e0330h0330,0.5,26,2990.9615384615386,-1.7503609128209543,-1.7614362633983824,-1.739298535017568,-1.6110555699240554,-1.621107530976682,-1.6019343731998357,-1.897852101646959,-1.75854675875006,0.12290932402167057,0.18901775623939607,0.18456916065284165,0.19353575940297307,11.450072853749107,20.895506797389775,8.341954775947091
elastic,0.5,mixed|d0600e0200h0200,0.0,30,2991.2,-1.7582024008773476,-1.7686408594350458,-1.7470008225821263,-1.6699830917283793,-1.6836842802072085,-1.6568278237834932,-1.7582024008773476,-1.6699830917283793,0.0,0.029214156052791197,0.026843173264152087,0.03167268176620689,19.262909226151507,19.05581887038629,17.55999146420442
