method,toll,d,e,h,pct,interaction,ci_lo,ci_hi,klass,mode,n
mixed|d0200e0600h0200,0.0,0.2,0.6,0.2,-1.9552719230863258,0.035462022742790464,0.017806732840261217,0.052987202617322364,super,paired,28
mixed|d0200e0600h0200,0.17,0.2,0.6,0.2,-5.082344726797,0.09114511808589142,0.07225485658262965,0.10957210613376633,super,paired,29
mixed|d0200e0600h0200,0.28,0.2,0.6,0.2,-5.102203680045688,0.09121005818564619,0.0761697644452228,0.10759393669053816,super,paired,28
mixed|d0200e0600h0200,0.5,0.2,0.6,0.2,-1.5178216486279679,0.02682876198464206,0.013434152952424167,0.04099908010550527,super,paired,27
mixed|d0340e0330h0330,0.0,0.34,0.33,0.33,0.026416716318198693,-0.0004698432493737959,-0.012618182885349948,0.012054877396113958,linear,paired,27
mixed|d0340e0330h0330,0.17,0.34,0.33,0.33,-3.908887883235732,0.06842127372103349,0.05553411998109687,0.08044411165644876,super,paired,28
mixed|d0340e0330h0330,0.28,0.34,0.33,0.33,-2.583346323020896,0.045249271838796915,0.02986016145189081,0.058638449971256654,super,paired,27
mixed|d0340e0330h0330,0.5,0.34,0.33,0.33,-0.6171339997194105,0.01087542750529951,-0.002959037302793787,0.023030147261171335,linear,paired,25
mixed|d0600e0200h0200,0.0,0.6,0.2,0.2,-0.5823444339111437,0.010286279713221056,-0.003988256329012751,0.027361150546117367,linear,paired,27
mixed|d0600e0200h0200,0.17,0.6,0.2,0.2,-1.848598012983514,0.03204338687720597,0.01890897361303566,0.044457246566763954,super,paired,29
mixed|d0600e0200h0200,0.28,0.6,0.2,0.2,-2.040147533738432,0.03552497376808396,0.02530923237908328,0.044840196033197124,super,paired,28
mixed|d0600e0200h0200,0.5,0.6,0.2,0.2,-0.6314243628956879,0.011155997085463052,-0.0024117134847886747,0.024454102519432187,linear,paired,27
mixed|d0000e0200h0800,0.0,0.0,0.2,0.8,1.4540009071128386,-0.025471600909041808,-0.04121189378474755,-0.009577477719080355,sub,paired,27
mixed|d0000e0200h0800,0.17,0.0,0.2,0.8,-2.8525257416103327,0.04911896116472371,0.03690154572854029,0.060919513532940735,super,paired,26
mixed|d0000e0200h0800,0.28,0.0,0.2,0.8,-2.3847402399697257,0.040998432902834676,0.029612756334047727,0.05180327890932172,super,paired,27
mixed|d0000e0200h0800,0.5,0.0,0.2,0.8,-1.207785225317799,0.021071210040941306,0.010102774281866823,0.031197548805920287,super,paired,28
mixed|d0000e0400h0600,0.0,0.0,0.4,0.6,0.2693948365135389,-0.0047961003844557495,-0.017134205407113485,0.008363028652488292,linear,paired,27
mixed|d0000e0400h0600,0.17,0.0,0.4,0.6,-2.14446490661833,0.03765143919504781,0.018789855595596303,0.05393191912097231,super,paired,27
mixed|d0000e0400h0600,0.28,0.0,0.4,0.6,-3.920504631617285,0.06859891415879542,0.05682736491564434,0.08246861313910822,super,paired,27
mixed|d0000e0400h0600,0.5,0.0,0.4,0.6,-1.3574563526679642,0.023788096457062667,0.01114053428553366,0.03702756799449631,super,paired,31
mixed|d0000e0600h0400,0.0,0.0,0.6,0.4,-1.7405408509734641,0.031483236921023665,0.01497798346747535,0.046574674296722976,super,paired,28
mixed|d0000e0600h0400,0.17,0.0,0.6,0.4,-1.249353868233,0.02235785454119778,-0.0031114599077081326,0.04580325103579474,linear,paired,27
mixed|d0000e0600h0400,0.28,0.0,0.6,0.4,-3.04427914029608,0.05419714915066531,0.03858993909664167,0.07032091015804383,super,paired,27
mixed|d0000e0600h0400,0.5,0.0,0.6,0.4,-0.7100247777236276,0.012497777807085894,-0.0002961823074835905,0.02458294342071941,linear,paired,28
mixed|d0000e0800h0200,0.0,0.0,0.8,0.2,-0.9068887149115482,0.016662398602304937,-0.0022378146463871724,0.035870411640407426,linear,paired,27
mixed|d0000e0800h0200,0.17,0.0,0.8,0.2,-0.15620457030625634,0.002848166881005968,-0.018445388890947614,0.02362941072639712,linear,paired,28
mixed|d0000e0800h0200,0.28,0.0,0.8,0.2,-1.1795229581307691,0.021359308192547815,0.003664506779635969,0.03881106997759354,super,paired,25
mixed|d0000e0800h0200,0.5,0.0,0.8,0.2,-0.9909921681246099,0.017520500004458307,0.0034375361971408485,0.033127131376293764,super,paired,29
